"genre","avg_drop_off_probability"
"Drama","0.5147583849633489"
"Mystery","0.5012188859507761"
"Western","0.4980563378669846"
"War & Politics","0.49803921463442785"
"Kids","0.47949050734691984"
"Documentary","0.4792133335272471"
"Reality","0.478436704439468"
"Family","0.4778894232586026"
"Soap","0.4768473051800699"
"Animation","0.47683675716901186"
"Crime","0.4761976242934396"
"Action & Adventure","0.4758754517776173"
"Talk","0.4753529410468003"
"Sci-Fi & Fantasy","0.4741898953966563"
"News","0.44363043230512866"
"Comedy","0.41635963499769546"
